dataset,row_number,field,defect_class,original_value
Works Completed.csv,902,Image,MISSING_OR_BLANK,
Works Completed.csv,903,Image,MISSING_OR_BLANK,
Works Completed.csv,904,Image,MISSING_OR_BLANK,
Works Completed.csv,905,Image,MISSING_OR_BLANK,
Works Completed.csv,906,Image,MISSING_OR_BLANK,
Works Completed.csv,936,Image,MISSING_OR_BLANK,
Works Completed.csv,938,Image,MISSING_OR_BLANK,
Works Completed.csv,939,Image,MISSING_OR_BLANK,
Works Completed.csv,940,Image,MISSING_OR_BLANK,
Works Completed.csv,941,Image,MISSING_OR_BLANK,
Works Completed.csv,948,Image,MISSING_OR_BLANK,
Works Completed.csv,949,Image,MISSING_OR_BLANK,
Works Completed.csv,950,Image,MISSING_OR_BLANK,
Works Completed.csv,952,Image,MISSING_OR_BLANK,
Works Completed.csv,955,Image,MISSING_OR_BLANK,
Works Completed.csv,956,Image,MISSING_OR_BLANK,
Works Completed.csv,957,Image,MISSING_OR_BLANK,
Works Completed.csv,958,Image,MISSING_OR_BLANK,
Works Completed.csv,959,Image,MISSING_OR_BLANK,
Works Completed.csv,960,Image,MISSING_OR_BLANK,
Works Completed.csv,979,Image,MISSING_OR_BLANK,
Works Completed.csv,980,Image,MISSING_OR_BLANK,
Works Completed.csv,983,Image,MISSING_OR_BLANK,
Works Completed.csv,984,Image,MISSING_OR_BLANK,
Works Completed.csv,986,Image,MISSING_OR_BLANK,
Works Completed.csv,987,Image,MISSING_OR_BLANK,
Works Completed.csv,988,Image,MISSING_OR_BLANK,
Works Completed.csv,989,Image,MISSING_OR_BLANK,
Works Completed.csv,995,Image,MISSING_OR_BLANK,
Works Completed.csv,1003,Image,MISSING_OR_BLANK,
Works Completed.csv,1010,Image,MISSING_OR_BLANK,
Works Completed.csv,1017,Image,MISSING_OR_BLANK,
Works Completed.csv,1018,Image,MISSING_OR_BLANK,
Works Completed.csv,1021,Image,MISSING_OR_BLANK,
Works Completed.csv,1025,Image,MISSING_OR_BLANK,
Works Completed.csv,1026,Image,MISSING_OR_BLANK,
Works Completed.csv,1027,Image,MISSING_OR_BLANK,
Works Completed.csv,1028,Image,MISSING_OR_BLANK,
Works Completed.csv,1030,Image,MISSING_OR_BLANK,
Works Completed.csv,1033,Image,MISSING_OR_BLANK,
Works Completed.csv,1035,Image,MISSING_OR_BLANK,
Works Completed.csv,1036,Image,MISSING_OR_BLANK,
Works Completed.csv,1039,Image,MISSING_OR_BLANK,
Works Completed.csv,1049,Image,MISSING_OR_BLANK,
Works Completed.csv,1050,Image,MISSING_OR_BLANK,
Works Completed.csv,1051,Image,MISSING_OR_BLANK,
Works Completed.csv,1052,Image,MISSING_OR_BLANK,
Works Completed.csv,1053,Image,MISSING_OR_BLANK,
Works Completed.csv,1054,Image,MISSING_OR_BLANK,
Works Completed.csv,1057,Image,MISSING_OR_BLANK,
Works Completed.csv,1058,Image,MISSING_OR_BLANK,
Works Completed.csv,1059,Image,MISSING_OR_BLANK,
Works Completed.csv,1071,Image,MISSING_OR_BLANK,
Works Completed.csv,1088,Image,MISSING_OR_BLANK,
Works Completed.csv,1102,Image,MISSING_OR_BLANK,
Works Completed.csv,1104,Image,MISSING_OR_BLANK,
Works Completed.csv,1105,Image,MISSING_OR_BLANK,
Works Completed.csv,1108,Image,MISSING_OR_BLANK,
Works Completed.csv,1109,Image,MISSING_OR_BLANK,
Works Completed.csv,1110,Image,MISSING_OR_BLANK,
Works Completed.csv,1111,Image,MISSING_OR_BLANK,
Works Completed.csv,1112,Image,MISSING_OR_BLANK,
Works Completed.csv,1113,Image,MISSING_OR_BLANK,
Works Completed.csv,1114,Image,MISSING_OR_BLANK,
Works Completed.csv,1115,Image,MISSING_OR_BLANK,
Works Completed.csv,1126,Image,MISSING_OR_BLANK,
Works Completed.csv,1129,Image,MISSING_OR_BLANK,
Works Completed.csv,1139,Image,MISSING_OR_BLANK,
Works Completed.csv,1140,Image,MISSING_OR_BLANK,
Works Completed.csv,1141,Image,MISSING_OR_BLANK,
Works Completed.csv,1149,Image,MISSING_OR_BLANK,
Works Completed.csv,1150,Image,MISSING_OR_BLANK,
Works Completed.csv,1151,Image,MISSING_OR_BLANK,
Works Completed.csv,1153,Image,MISSING_OR_BLANK,
Works Completed.csv,1156,Image,MISSING_OR_BLANK,
Works Completed.csv,1160,Image,MISSING_OR_BLANK,
Works Completed.csv,1162,Image,MISSING_OR_BLANK,
Works Completed.csv,1164,Image,MISSING_OR_BLANK,
Works Completed.csv,1165,Image,MISSING_OR_BLANK,
