"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2929","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18111/2026-2027/268993","AKOLA(DISTRICT COLLECTOR AKOLA_IDA)","ANUP SANJAY DHOTRE","AKOLA","27-Aug-2026","GRAMPANCHAYAT KARYALAY LAKHPURI","Payment Success","982424"
"2930","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/221895","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","26-Aug-2026","Gram panchayat Kolang","Payment Success","70000"
"2931","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18189/2026-2027/260078","BHADRADRI KOTHAGUDEM(District Collector Bhadradri Ktdm_IDA)","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","27-Aug-2026","MADDISETTI SATYA PRASAD","Payment Success","499623"
"2932","Punjab","Installation of multi-gym equipment","WS/MP716/2024-2025/142661","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","26-Aug-2026","National Sports and Games","Payment Success","150000"
"2933","Himachal Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18328/2025-2026/221892","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","26-Aug-2026","Gram Panchayat Utpur","Payment Success","70000"
"2934","Haryana","Providing drains and gutters for public drainage","WS/MP431/2025-2026/265214","MAHENDRAGARH(DEPUTY COMMISSIONER MAHENDRAGARH_IDA)","Rao Inderjit Singh","GURGAON","25-Aug-2026","THE LAL KRIPA COOP LANDC SOCIETY LTD","Payment Success","428013"
"2935","Bihar","Construction of public staircase/ stair ghat for public convenience","WS/MP316/2025-2026/274954","SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA)","Shri Janardan Singh Sigriwal","MAHARAJGANJ_BR","27-Aug-2026","ANIL KUMAR SINGH","Payment Success","812494"
"2936","Tamil Nadu","Construction of community centers and community halls","WS/MP18181/2026-2027/305132","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","ESWARASAMY K","POLLACHI","27-Aug-2026","JAYALAKSHMI BUILDERS","Payment Success","2000000"
"2937","Haryana","Improvement of electricity distribution infrastructure","WS/MP18065/2026-2027/274815","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","31-Aug-2026","SDO UHBVN Kalanaur","Payment Success","150000"
"2938","Himachal Pradesh","Construction of community centers and community halls","WS/MP18328/2025-2026/222020","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","25-Aug-2026","Gram Panchayat Talkehar","Payment Success","70000"
"2939","Jammu And Kashmir","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP600/2026-2027/273901","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","27-Aug-2026","Shankar Singh","Payment Success","133700"
"2940","Himachal Pradesh","Construction of foot over bridge (FOB)","WS/MP18328/2025-2026/222025","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","GP Hargunen","Payment Success","60000"
"2941","Himachal Pradesh","Construction of community centers and community halls","WS/MP18328/2025-2026/221506","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Gram Panchayat Bhadyara bhulla","Payment Success","70000"
