"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2128","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266183","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","09-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2129","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266184","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","09-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2130","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266188","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","09-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2131","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266189","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","09-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2132","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266190","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","09-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2133","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266172","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2134","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266145","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2135","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266173","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2136","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266140","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2137","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266141","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2138","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266142","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2139","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266143","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2140","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266144","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2141","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266146","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2142","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266147","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2143","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266148","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2144","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266149","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2145","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266150","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2146","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266151","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2147","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266152","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2148","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266153","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2149","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266154","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2150","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266155","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2151","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266174","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2152","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266175","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2153","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266176","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2154","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266177","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2155","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266178","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2156","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266179","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2157","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266180","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2158","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266181","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2159","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Ms Sikander Industries","Payment In-Progress","48705"
"2160","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Ms Sikander Industries","Payment In-Progress","46986"
"2161","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Ms Sikander Industries","Payment In-Progress","45840"
"2162","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Ms Sikander Industries","Payment In-Progress","48705"
"2163","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Ms Sikander Industries","Payment In-Progress","40110"
"2164","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Parkash Chand Pawan Kumar","Payment In-Progress","29110"
"2165","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Parkash Chand Pawan Kumar","Payment In-Progress","22481"
"2166","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Parkash Chand Pawan Kumar","Payment In-Progress","30124"
"2167","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Parkash Chand Pawan Kumar","Payment In-Progress","31143"
"2168","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18172/2025-2026/156311","PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","27-Aug-2026","SIMA BAI","Payment In-Progress","14820"
"2169","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241241","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","25-Jul-2026","MAHADEV ENTERPRISES","Payment In-Progress","857034"
"2170","Odisha","Construction of rooms and halls in school and colleges","WS/MP18310/2025-2026/200765","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","AVIMANYU SETHI","BHADRAK(SC)","25-Aug-2026","Amiya Ku Das","Payment In-Progress","500000"
"2171","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18310/2026-2027/239500","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","AVIMANYU SETHI","BHADRAK(SC)","25-Aug-2026","Amiya Ku Das","Payment In-Progress","1000000"
"2172","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18184/2026-2027/286244","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","13-Jul-2026","PANDIAN V  Contractor","Payment In-Progress","1482499"
"2173","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18060/2025-2026/213491","YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA)","VARUN CHAUDHRY","AMBALA (SC)","27-Aug-2026","The shri Coop l and c society ltd","Payment In-Progress","486703"
"2174","Gujarat","Construction of culverts and bridges","WS/MP18276/2025-2026/184967","CHHOTAUDEPUR(DISTRICT COLLECTOR CHHOTA UDEPUR_IDA)","JASHUBHAI BHILUBHAI RATHVA","CHHOTA UDAIPUR(ST)","05-Aug-2026","PALASNI JUTH GRAM PANCHAYAT","Payment In-Progress","200000"
"2175","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","bhana ram","Payment In-Progress","10056"
"2176","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Gulab singh","Payment In-Progress","11592"
"2177","Punjab","Purchase of mobile water tankers","WS/MP18311/2026-2027/279845","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Aug-2026","MODERN METAL CRAFTS","Payment In-Progress","350000"
"2178","Punjab","Installation of fixed garden gym equipment","WS/MP18311/2026-2027/278255","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","31-Aug-2026","MODERN METAL CRAFTS","Payment In-Progress","325000"
"2179","Punjab","Installation of fixed garden gym equipment","WS/MP18311/2026-2027/277753","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","31-Aug-2026","MODERN METAL CRAFTS","Payment In-Progress","325000"
"2180","Punjab","Installation of fixed garden gym equipment","WS/MP18311/2026-2027/277754","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","31-Aug-2026","MODERN METAL CRAFTS","Payment In-Progress","325000"
"2181","Punjab","Installation of fixed garden gym equipment","WS/MP18311/2026-2027/281042","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","31-Aug-2026","MODERN METAL CRAFTS","Payment In-Progress","325000"
"2182","Punjab","Installation of fixed garden gym equipment","WS/MP18311/2026-2027/278977","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","21-Aug-2026","MODERN METAL CRAFTS","Payment In-Progress","325000"
"2183","Chhattisgarh","Construction of additional rooms and halls in the existing public and community building","WS/MP18335/2025-2026/150744","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","RADHE SHYAM RATHIYA","RAIGARH(ST)","30-Jul-2026","SARPANCH SACHIV DP DHAURABHANTA","Payment In-Progress","400000"
"2184","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18172/2025-2026/241314","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","09-Jul-2026","MEWAR CONSTRUCTION AND BUILDERS","Payment In-Progress","299800"
"2185","Maharashtra","Construction of community centers and community halls","WS/MP18124/2025-2026/225837","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","GAIKWAD VARSHA EKNATH","MUMBAI NORTH-CENTRAL","03-Aug-2026","kalpesh vasant vichare","Payment In-Progress","1498862"
"2186","Punjab","Construction of community centers and community halls","WS/MP18311/2025-2026/229724","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","31-Aug-2026","Sarpanch Sotal","Payment In-Progress","30950"
"2187","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18172/2025-2026/156311","PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","27-Aug-2026","CHETAN PRAKASH MEENA","Payment In-Progress","19890"
"2188","Uttar Pradesh","Improvement of electricity distribution infrastructure","WS/MP18202/2025-2026/234834","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DHARMENDRA YADAV","AZAMGARH","07-Aug-2026","EX ENGINEER EDD II","Payment In-Progress","151313"
"2189","Maharashtra","Installation of fixed garden gym equipment","WS/MP18117/2026-2027/164340","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","BACHHAV SHOBHA DINESH","DHULE","07-Aug-2026","PUTALAI MAJOR SAHAKARI SANSTHA MARYAD NAVISHEMALI","Payment In-Progress","989456"
"2190","Maharashtra","Installation of fixed garden gym equipment","WS/MP18117/2026-2027/164338","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","BACHHAV SHOBHA DINESH","DHULE","07-Aug-2026","PUTALAI MAJOR SAHAKARI SANSTHA MARYAD NAVISHEMALI","Payment In-Progress","989456"
"2191","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18237/2025-2026/259614","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","IMRAN MASOOD","SAHARANPUR","01-Sep-2026","satya dev construction co","Payment In-Progress","845581"
"2192","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18237/2025-2026/259615","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","IMRAN MASOOD","SAHARANPUR","01-Sep-2026","satya dev construction co","Payment In-Progress","1096966"
"2193","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18237/2025-2026/259674","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","IMRAN MASOOD","SAHARANPUR","01-Sep-2026","satya dev construction co","Payment In-Progress","1040821"
"2194","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18237/2025-2026/259622","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","IMRAN MASOOD","SAHARANPUR","01-Sep-2026","satya dev construction co","Payment In-Progress","305478"
"2195","Uttar Pradesh","Improvement of electricity distribution infrastructure","WS/MP18232/2026-2027/239204","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","15-Jul-2026","EDD SARDHANA MEERUT","Payment In-Progress","67055"
"2196","Uttar Pradesh","Improvement of electricity distribution infrastructure","WS/MP18232/2026-2027/239371","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","21-Jul-2026","EDD SARDHANA MEERUT","Payment In-Progress","144290"
"2197","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2026-2027/288127","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","22-Jul-2026","Jamindro R Marak","Payment In-Progress","100000"
"2198","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP18320/2025-2026/231507","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","14-Jul-2026","BHACHALVA GRAM PANCHAYAT","Payment In-Progress","300000"
"2199","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP584/2025-2026/216838","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Vinod Chavda","KACHCHH(SC)","04-Aug-2026","Vishri Construction And Paver Block","Payment In-Progress","424168"
"2200","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP584/2026-2027/158940","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Vinod Chavda","KACHCHH(SC)","04-Aug-2026","JAY SOMNATH CONSTRUCTION","Payment In-Progress","199843"
"2201","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18083/2025-2026/165570","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","04-Aug-2026","PRAKHYATH RAJ SHETTY","Payment In-Progress","199857"
"2202","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2026-2027/287993","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","31-Aug-2026","Dilseng A Sangma","Payment In-Progress","300000"
"2203","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18028/2025-2026/207913","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","PARIMAL SUKLABAIDYA","SILCHAR","27-Aug-2026","BISWAJIT DEB","Payment In-Progress","57345"
"2204","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18028/2025-2026/207913","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","PARIMAL SUKLABAIDYA","SILCHAR","27-Aug-2026","BISWAJIT DEB","Payment In-Progress","54975"
"2205","Haryana","Construction of community centers and community halls","WS/MP431/2025-2026/168778","GURUGRAM(DC CUM NODAL OFFICER MPLADS_5)","Rao Inderjit Singh","GURGAON","22-Jul-2026","WIN POWER CONSTRUCTION CO","Payment In-Progress","438500"
"2206","Uttar Pradesh","Street lights","WS/MP18242/2025-2026/216762","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","RAMBHUAL NISHAD","SULTANPUR","07-Aug-2026","Gaur Construction","Payment In-Progress","9707139"
"2207","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2026-2027/235456","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","20-Aug-2026","RAJHANS","Payment In-Progress","239953"
