sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount_rupees,fund_disbursed_amount_rupees_invalid_negative,source_dataset
98,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171370,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
99,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171501,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
100,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171497,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
101,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184343,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
102,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184543,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
103,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184472,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
104,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184544,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
105,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186921,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
106,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186922,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
107,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184332,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
108,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184328,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
109,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184330,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
110,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171392,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
111,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171393,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
112,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184316,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
113,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184319,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
114,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171592,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
115,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171610,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
116,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171611,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
117,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171612,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
118,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171613,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
119,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171614,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
120,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182254,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
121,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182256,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
122,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/172029,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
123,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182255,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
124,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182258,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
125,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182257,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
126,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182259,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
127,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182263,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
128,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182264,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
129,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/183845,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
130,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184031,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
131,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187362,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
132,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171626,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
133,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171624,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
134,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171625,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
135,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171728,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
136,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171724,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
137,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171727,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
138,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184334,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
139,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184338,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
140,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186924,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
141,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186925,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
142,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186926,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
143,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186942,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
144,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187363,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
145,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187364,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
146,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187365,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
147,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187588,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
148,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187595,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
149,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171619,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
150,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171622,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
151,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186923,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
152,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184339,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
153,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184342,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
154,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18156/2025-2026/213063,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),2026-08-31,SHRI GURU NANAK INTERLOCKING CEMENT TILE,Payment In-Progress,149110,False,Completed_On-going_Works.csv
155,West Bengal,Construction of stadiums,WS/MP18272/2026-2027/222318,Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA),KALIPADA SAREN,JHARGRAM(ST),2026-08-17,RAJAT SUBHRA MANDAL,Payment In-Progress,4881631,False,Completed_On-going_Works.csv
156,Andhra Pradesh,Construction of veterinary hospitals and dispensaries,WS/MP18007/2024-2025/140066,Kakinada(DISTRICT COLLECTOR KAKINADA_IDA),Putta Mahesh Kumar,ELURU,2026-08-27,VIJAYA VIKRAM CONSTRUCTIONS,Payment In-Progress,1097173,False,Completed_On-going_Works.csv
157,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/277322,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-08-31,BIRENDRA KUMAR MAHATO,Payment In-Progress,150000,False,Completed_On-going_Works.csv
158,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/275551,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-08-31,BIRENDRA KUMAR MAHATO,Payment In-Progress,200000,False,Completed_On-going_Works.csv
159,Jharkhand,Providing drains and gutters for public drainage,WS/MP18072/2026-2027/276179,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-08-31,BIRENDRA KUMAR MAHATO,Payment In-Progress,125000,False,Completed_On-going_Works.csv
160,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/273079,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-08-31,BIRENDRA KUMAR MAHATO,Payment In-Progress,165000,False,Completed_On-going_Works.csv
161,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/273080,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-08-31,BIRENDRA KUMAR MAHATO,Payment In-Progress,165000,False,Completed_On-going_Works.csv
162,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/292872,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,100000,False,Completed_On-going_Works.csv
163,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/291946,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,140000,False,Completed_On-going_Works.csv
164,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/292866,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,150000,False,Completed_On-going_Works.csv
165,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/292867,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,150000,False,Completed_On-going_Works.csv
166,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/292874,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,175000,False,Completed_On-going_Works.csv
167,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/292869,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,175000,False,Completed_On-going_Works.csv
168,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/292870,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,175000,False,Completed_On-going_Works.csv
169,Jharkhand,Providing drains and gutters for public drainage,WS/MP18072/2026-2027/292873,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,75000,False,Completed_On-going_Works.csv
170,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/273084,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,225000,False,Completed_On-going_Works.csv
171,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/283710,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,200000,False,Completed_On-going_Works.csv
172,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/292834,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,125000,False,Completed_On-going_Works.csv
173,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/292830,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,125000,False,Completed_On-going_Works.csv
174,Jharkhand,Providing supply pipelines for drinking water,WS/MP18072/2026-2027/296342,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,200000,False,Completed_On-going_Works.csv
175,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/292829,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,200000,False,Completed_On-going_Works.csv
176,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/292835,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,175000,False,Completed_On-going_Works.csv
177,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/292871,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,150000,False,Completed_On-going_Works.csv
178,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/291953,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,200000,False,Completed_On-going_Works.csv
179,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/291945,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-09-02,BIRENDRA KUMAR MAHATO,Payment In-Progress,150000,False,Completed_On-going_Works.csv
180,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18324/2025-2026/151103,AMRELI(DISTRICT COLLECTOR AMRELI_IDA),BHARATBHAI MANUBHAI SUTARIYA,AMRELI,2026-09-02,HADIDA GRAM PANCHAYAT,Payment In-Progress,300000,False,Completed_On-going_Works.csv
181,Odisha,Construction of community centers and community halls,WS/MP18142/2025-2026/225283,JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA),BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),2026-09-01,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000,False,Completed_On-going_Works.csv
182,Madhya Pradesh,Construction of common work sheds/ common covered sitting area,WS/MP653/2025-2026/271170,DEWAS(DISTRICT COLLECTOR DEWAS_IDA),Mahendra Singh Solanky,DEWAS(SC),2026-09-01,CEO Janpad Panchayat Dewas,Payment In-Progress,600000,False,Completed_On-going_Works.csv
183,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/290323,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),DULU MAHATO,DHANBAD,2026-09-02,Mukesh Mahato,Payment In-Progress,219000,False,Completed_On-going_Works.csv
184,Jharkhand,Installing tube-wells and borewells,WS/MP18072/2026-2027/292200,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),DULU MAHATO,DHANBAD,2026-09-02,Mukesh Mahato,Payment In-Progress,243750,False,Completed_On-going_Works.csv
185,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/290326,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),DULU MAHATO,DHANBAD,2026-09-02,Mukesh Mahato,Payment In-Progress,243750,False,Completed_On-going_Works.csv
186,Jharkhand,Installing tube-wells and borewells,WS/MP18072/2026-2027/292199,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),DULU MAHATO,DHANBAD,2026-09-02,Mukesh Mahato,Payment In-Progress,243750,False,Completed_On-going_Works.csv
187,Karnataka,Construction of community centers and community halls,WS/MP18093/2026-2027/228510,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,2026-07-02,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000,False,Completed_On-going_Works.csv
188,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/273078,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-08-31,BIRENDRA KUMAR MAHATO,Payment In-Progress,165000,False,Completed_On-going_Works.csv
189,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/283708,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-08-31,BIRENDRA KUMAR MAHATO,Payment In-Progress,140000,False,Completed_On-going_Works.csv
190,Jharkhand,Construction of community centers and community halls,WS/MP18072/2026-2027/261891,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-08-31,BIRENDRA KUMAR MAHATO,Payment In-Progress,375000,False,Completed_On-going_Works.csv
191,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/277323,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-08-31,BIRENDRA KUMAR MAHATO,Payment In-Progress,190000,False,Completed_On-going_Works.csv
192,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/277325,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,2026-08-31,BIRENDRA KUMAR MAHATO,Payment In-Progress,175000,False,Completed_On-going_Works.csv
