sr_no,work_category,work,state,ida,honble_members_of_parliament,elected_nominated,work_description,recommended_date,recommended_amount_rupees,sanction_date,recommended_amount_rupees_invalid_negative,source_dataset
19442,Normal/Others,NA-Lighting of public spaces,Telangana,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 2 High Mast Lights near MPP School and near Sawari Bungalow at Palodi Village, Tamsi Mandal, Adilabad District, Telangana",2026-03-28,310000.0,,False,Works_Recommended.csv
19443,Normal/Others,NA-Lighting of public spaces,Telangana,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 1 High Mast Light near Narayana Baba Temple at Vaman Nagar Village, Ambugoan GP, Tamsi Mandal, Adilabad District, Telangana",2026-03-28,155000.0,,False,Works_Recommended.csv
19444,Normal/Others,NA-Lighting of public spaces,Telangana,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 2 High Mast Lights near K Kantharao House and near G Anil House at Anderband Village, Bheempur Mandal, Adilabad District, Telangana",2026-03-28,310000.0,,False,Works_Recommended.csv
19445,Normal/Others,NA-Lighting of public spaces,Telangana,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 2 High Mast Lights near Pendur Umesh House and near Dikonda Vijay house near Belsari Rampur Village, Bheempur Mandal, Adilabad District, Telangana",2026-03-28,310000.0,,False,Works_Recommended.csv
19446,Normal/Others,NA-Installing tube-wells and borewells,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Ek Borewell khanan, Gram Panchayat Talad, Janpad Panchayat Majholi, Jabalpur",2026-03-28,125000.0,,False,Works_Recommended.csv
19447,Normal/Others,NA-Lighting of public spaces,Telangana,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 1 High Mast Light near Atharam Damji house at Tekdi Rampur Village, Belsari Rampur GP, Bheempur Mandal, Adilabad District, Telangana",2026-03-28,155000.0,,False,Works_Recommended.csv
19448,Normal/Others,NA-Installing tube-wells and borewells,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Ek Borewell khanan, Gram Panchayat Khudawal, Janpad Panchayat Majholi ke Gram Khudawal me Saheed ke samrak ke pas, Jabalpur",2026-03-28,125000.0,,False,Works_Recommended.csv
19449,Normal/Others,WS/MP106/2026-2027/276508-Installing hand pumps,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Ek Handpump khanan, Gram Panchayat Lamkana, Janpad Panchayat Majholi me ram Mandir kea pas Sarvjanik Sthal par, Jabalpur (mention in letter no.4317 at column no.1)",2026-03-28,125000.0,2026-07-14,False,Works_Recommended.csv
19450,Normal/Others,WS/MP106/2026-2027/276509-Installing hand pumps,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Ek Handpump khanan, Gram Panchayat Lamkana, Janpad Panchayat Majholi Sthith Shantidham me, Jabalpur (mention in letter no.4317 at column no.2)",2026-03-28,125000.0,2026-07-14,False,Works_Recommended.csv
19451,Normal/Others,NA-Street lights,Madhya Pradesh,MORENA(DISTRICT COLLECTOR MORENA_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Kakardha, Gram Panchayat Urhera, Janpad Panchayat Jaura ke gram Kakardha me Street Light lagane hetu, Morena",2026-03-28,500000.0,,False,Works_Recommended.csv
19452,Normal/Others,WS/MP106/2026-2027/276511-Purchase of mobile water tankers,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Ek nag Water Tanker 5500 Liter Capacity 900X16 number ke naye Tyre Tube sahit, Gram Panchayat Junwani Kalan, Janpad Panchayat Sihora, Jabalpur",2026-03-28,159212.0,2026-06-15,False,Works_Recommended.csv
