sr_no,state,honble_members_of_parliaments,constituency,allocated_amount_rupees,allocated_amount_rupees_invalid_negative,source_dataset
188,Madhya Pradesh,Gyaneshwar Patil,KHANDWA,155690684.77,False,Allocated_Limit.csv
189,Karnataka,H.D. KUMARASWAMY,MANDYA,147000000.0,False,Allocated_Limit.csv
190,Uttar Pradesh,HARENDRA SINGH MALIK,MUZAFFARNAGAR,147000000.0,False,Allocated_Limit.csv
191,Gujarat,HARIBHAI PATEL,MAHESANA,147000000.0,False,Allocated_Limit.csv
192,Rajasthan,HARISH CHANDRA MEENA,TONK-SAWAI MADHOPUR,147000000.0,False,Allocated_Limit.csv
193,Delhi,Harsh Malhotra,EAST DELHI,147134131.0,False,Allocated_Limit.csv
194,Gujarat,Hasmukh Bhai Soma Bhai Patel,AHMEDABAD EAST,147000000.0,False,Allocated_Limit.csv
195,Uttar Pradesh,IMRAN MASOOD,SAHARANPUR,147000000.0,False,Allocated_Limit.csv
196,Sikkim,Indra Hang Subba,SIKKIM,152003923.11,False,Allocated_Limit.csv
197,Uttar Pradesh,IQRA CHOUDHARY,KAIRANA,147000000.0,False,Allocated_Limit.csv
198,West Bengal,ISHA KHAN CHOUDHURY,MALDAHA DAKSHIN,147000000.0,False,Allocated_Limit.csv
199,West Bengal,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),168604641.11,False,Allocated_Limit.csv
200,Karnataka,JAGADISH SHETTAR,BELGAUM,147000000.0,False,Allocated_Limit.csv
201,West Bengal,Jagannath Sarkar,RANAGHAT(SC),147000000.0,False,Allocated_Limit.csv
202,Uttar Pradesh,Jagdambika Pal,DOMARIYAGANJ,160643957.11,False,Allocated_Limit.csv
203,Haryana,JAI PARKASH,HISAR,147000000.0,False,Allocated_Limit.csv
204,Uttar Pradesh,Jai Prakash,HARDOI (SC),147000000.0,False,Allocated_Limit.csv
205,Madhya Pradesh,Janardan Mishra,REWA,147000000.0,False,Allocated_Limit.csv
206,Gujarat,JASHUBHAI BHILUBHAI RATHVA,CHHOTA UDAIPUR(ST),147000000.0,False,Allocated_Limit.csv
207,Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),147000000.0,False,Allocated_Limit.csv
208,Bihar,JITAN RAM MANJHI,GAYA (SC),147000000.0,False,Allocated_Limit.csv
209,Uttar Pradesh,JITENDRA KUMAR DOHARE,ETAWAH(SC),188747306.26,False,Allocated_Limit.csv
210,Jammu And Kashmir,Jitendra Singh,UDHAMPUR,147000000.0,False,Allocated_Limit.csv
211,Uttar Pradesh,JITIN PRASADA,PILIBHIT,147000000.0,False,Allocated_Limit.csv
212,Jharkhand,JOBA MAJHI,SINGHBHUM(ST),147000000.0,False,Allocated_Limit.csv
213,Assam,JOYANTA BASUMATARY,KOKRAJHAR (ST),147000000.0,False,Allocated_Limit.csv
214,West Bengal,JUNE MALIAH,MEDINIPUR,147000000.0,False,Allocated_Limit.csv
215,Madhya Pradesh,JYOTIRADITYA M. SCINDIA,GUNA,147000000.0,False,Allocated_Limit.csv
216,Chhattisgarh,Jyotsna Charandas Mahant,KORBA,155153738.11,False,Allocated_Limit.csv
217,Tamil Nadu,K E PRAKASH,ERODE,147000000.0,False,Allocated_Limit.csv
218,Kerala,K RADHAKRISHNAN,ALATHUR(SC),147000000.0,False,Allocated_Limit.csv
219,Tamil Nadu,K Subbarayan,TIRUPPUR,147000000.0,False,Allocated_Limit.csv
220,Kerala,K. C VENUGOPAL,ALAPPUZHA,147000000.0,False,Allocated_Limit.csv
221,Karnataka,K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,147000000.0,False,Allocated_Limit.csv
222,Telangana,KADIYAM KAVYA,WARANGEL(SC),147000000.0,False,Allocated_Limit.csv
223,West Bengal,Kakoli Ghosh Dastidar,BARASAT,147000000.0,False,Allocated_Limit.csv
224,The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI (ST),147000000.0,False,Allocated_Limit.csv
225,Tamil Nadu,Kalanidhi Veeraswamy,CHENNAI NORTH,171500000.0,False,Allocated_Limit.csv
226,Jharkhand,KALI CHARAN MUNDA,KHUNTI(ST),147000000.0,False,Allocated_Limit.csv
227,Jharkhand,KALI CHARAN SINGH,CHATRA,147000000.0,False,Allocated_Limit.csv
228,West Bengal,KALIPADA SAREN,JHARGRAM(ST),147000000.0,False,Allocated_Limit.csv
229,West Bengal,Kalyan Banerjee,SREERAMPUR,147000000.0,False,Allocated_Limit.csv
230,Maharashtra,KALYAN VAIJINATHRAO KALE,JALNA,147000000.0,False,Allocated_Limit.csv
231,Assam,KAMAKHYA PRASAD TASA,Kaziranga,147000000.0,False,Allocated_Limit.csv
232,Delhi,Kamaljeet Sehrawat,WEST DELHI,147000000.0,False,Allocated_Limit.csv
233,Chhattisgarh,KAMLESH JANGDE,JANJGIR CHAMPA(SC),150384382.11,False,Allocated_Limit.csv
